ci_estudiante,ci_est_dpto,materia,ci_docente,ci_doc_dpto,periodo,nota,observaciones
4949063,LP,INF320,6888435,LP,I-2002,37,Reprobado
9214751,LP,EST280,5801726,TJ,I-2009,82,Aprobado
5975560,LP,INF325,6087357,LP,I-2000,34,Reprobado
9994525,LP,MAT270,6049205,LP,II-2007,6,Reprobado
6058774,LP,EST440,4965844,LP,II-2009,52,Aprobado
4962498,LP,INF325,6153276,LP,I-2008,69,Aprobado
4811882,LP,EST140,6150980,LP,I-2014,7,Reprobado
8321673,LP,MAT270,4856270,LP,I-2004,14,Reprobado
6815832,LP,EST280,6776752,LP,II-2013,65,Aprobado
4928737,LP,FIS100,4760216,LP,II-2011,65,Aprobado
4822122,LP,EST280,4898251,LP,I-2000,31,Reprobado
8402517,LP,INF236,6815832,LP,I-2005,29,Reprobado
7038942,LP,EST440,6009256,LP,I-2012,39,Reprobado
4826369,LP,INF236,4760216,LP,II-2008,59,Aprobado
8306273,LP,MAT120,6837306,LP,II-2000,62,Aprobado
8291287,LP,EST440,4844828,LP,II-2012,1,Reprobado
6144520,LP,EST280,6888435,LP,II-2007,35,Reprobado
4949063,LP,INF236,6087357,LP,I-2002,86,Aprobado
8402517,LP,INF324,6837306,LP,II-2002,87,Aprobado
6793993,LP,EST392,6143079,LP,II-2005,34,Reprobado
8333851,LP,INF325,6056909,LP,I-2014,85,Aprobado
4891593,LP,INF325,5998313,LP,I-2005,24,Reprobado
6753182,LP,EST440,6905510,LP,I-2013,54,Aprobado
4874363,LP,INF120,7007126,LP,II-2005,46,Reprobado
4760216,LP,EST280,6780733,LP,I-2013,1,Reprobado
7005717,LP,EST140,8342748,LP,II-2014,39,Reprobado
6733281,LP,EST280,7023542,LP,I-2009,7,Reprobado
6869597,LP,MAT270,6780733,LP,II-2013,75,Aprobado
6788550,LP,EST392,4844828,LP,II-2003,91,Aprobado
6723965,LP,EST140,6020916,LP,I-2003,54,Aprobado
6087357,LP,INF320,6723965,LP,II-2005,77,Aprobado
6058774,LP,EST440,6853401,LP,II-2011,14,Reprobado
6720620,LP,EST280,6858270,LP,II-2001,39,Reprobado
6824998,LP,MAT320,6049205,LP,I-2000,6,Reprobado
4898251,LP,INF236,6139832,LP,II-2001,41,Reprobado
6852636,LP,EST280,8441626,LP,I-2008,25,Reprobado
6018908,LP,EST440,6778337,LP,I-2003,97,Aprobado
8406121,LP,EST392,6153276,LP,I-2012,1,Reprobado
6087357,LP,INF324,6837306,LP,II-2005,39,Reprobado
8346210,LP,INF325,6143079,LP,II-2007,22,Reprobado
6869126,LP,EST392,6095371,LP,I-2011,28,Reprobado
6010843,LP,INF236,6140134,LP,II-2008,96,Aprobado
6789190,LP,MAT270,6765381,LP,II-2008,88,Aprobado
4875775,LP,INF324,6131932,LP,II-2004,49,Reprobado
9216537,LP,MAT270,4875775,LP,II-2008,19,Reprobado
7038942,LP,MAT120,4826389,LP,I-2004,66,Aprobado
7005717,LP,INF320,6140134,LP,I-2000,83,Aprobado
7007827,LP,INF120,5994785,LP,II-2009,75,Aprobado
6789190,LP,MAT120,6948542,LP,I-2013,57,Aprobado
6755399,LP,EST440,6853401,LP,II-2014,45,Reprobado
6855569,LP,EST440,6020916,LP,I-2009,25,Reprobado
6030223,LP,INF320,5960219,LP,I-2010,17,Reprobado
6862348,LP,INF324,4965844,LP,I-2001,69,Aprobado
4924998,LP,INF391,6153276,LP,I-2002,52,Aprobado
4900069,LP,INF236,4758753,LP,I-2004,96,Aprobado
6143079,LP,INF236,6764063,LP,I-2007,7,Reprobado
4268464,LP,EST140,3459074,LP,I-2005,35,Reprobado
6830287,LP,INF120,6869689,LP,II-2011,86,Aprobado
6833022,LP,INF324,6057424,LP,II-2013,26,Reprobado
8324817,LP,INF320,6755399,LP,II-2005,48,Reprobado
6853401,LP,MAT120,6780733,LP,I-2011,71,Aprobado
6851639,LP,MAT270,6798702,LP,I-2010,86,Aprobado
5981213,LP,INF324,6087357,LP,II-2009,10,Reprobado
6094524,LP,EST140,7290420,OR,I-2001,69,Aprobado
4774159,LP,EST140,4758753,LP,II-2008,75,Aprobado
538893,VE,INF120,3459074,LP,I-2007,14,Reprobado
6149357,LP,INF391,6139832,LP,II-2007,45,Reprobado
6140134,LP,INF236,6852438,LP,I-2002,80,Aprobado
6826200,LP,MAT320,6720620,LP,I-2013,11,Reprobado
4965844,LP,EST280,6826200,LP,II-2008,88,Aprobado
6144520,LP,INF236,6020916,LP,I-2009,63,Aprobado
8346210,LP,INF391,4774159,LP,I-2006,73,Aprobado
6862348,LP,EST140,6776752,LP,I-2004,77,Aprobado
6951609,LP,INF325,6858270,LP,II-2011,22,Reprobado
6849369,LP,EST140,6888435,LP,II-2003,31,Reprobado
5964988,LP,EST140,6150506,LP,I-2001,71,Aprobado
8406121,LP,MAT120,6153276,LP,I-2012,21,Reprobado
8324817,LP,INF120,5960219,LP,I-2009,80,Aprobado
6789190,LP,FIS100,4965844,LP,I-2001,9,Reprobado
4844828,LP,MAT270,4774159,LP,II-2008,63,Aprobado
6031586,LP,EST392,6824998,LP,I-2011,24,Reprobado
7007126,LP,INF391,6815832,LP,I-2006,66,Aprobado
9122265,LP,EST392,6815832,LP,II-2012,73,Aprobado
4913514,LP,MAT120,6720620,LP,II-2006,68,Aprobado
6933814,LP,INF120,6759045,LP,II-2004,59,Aprobado
8305378,LP,MAT270,8441626,LP,II-2002,16,Reprobado
8305840,LP,EST392,4760216,LP,I-2013,93,Aprobado
4949063,LP,FIS100,7290420,OR,II-2012,35,Reprobado
9112023,LP,EST440,6745690,LP,II-2005,99,Aprobado
8301162,LP,EST280,6764063,LP,II-2005,33,Reprobado
6838626,LP,INF320,6826200,LP,II-2010,47,Reprobado
6149357,LP,INF324,4758753,LP,I-2000,66,Aprobado
6025769,LP,INF325,5801726,TJ,II-2004,58,Aprobado
6751047,LP,INF325,8306245,LP,I-2003,82,Aprobado
4924998,LP,FIS100,7007126,LP,I-2000,83,Aprobado
5940612,LP,EST140,7023542,LP,II-2012,92,Aprobado
4924998,LP,INF120,5977396,LP,I-2001,57,Aprobado
6143079,LP,MAT270,4847126,LP,II-2001,5,Reprobado
8356505,LP,MAT270,6852438,LP,I-2008,39,Reprobado
6776752,LP,INF120,5960219,LP,I-2005,10,Reprobado
4875775,LP,FIS100,4898251,LP,I-2005,3,Reprobado
6793993,LP,INF391,6751047,LP,II-2003,48,Reprobado
6858270,LP,INF320,6143079,LP,II-2009,99,Aprobado
6753182,LP,MAT120,6139832,LP,II-2014,37,Reprobado
4852497,LP,EST392,6020916,LP,II-2004,16,Reprobado
6751047,LP,EST280,4758753,LP,I-2013,85,Aprobado
5981213,LP,MAT320,6776752,LP,I-2011,45,Reprobado
6728060,LP,MAT120,6888435,LP,II-2002,69,Aprobado
8291287,LP,INF325,6888435,LP,II-2004,94,Aprobado
4777949,LP,EST140,4852497,LP,II-2004,76,Aprobado
8264238,LP,INF325,5977396,LP,I-2001,89,Aprobado
5994995,LP,INF391,5998313,LP,II-2013,66,Aprobado
4774159,LP,INF324,4312014,LP,I-2006,99,Aprobado
6751047,LP,INF324,4892034,LP,II-2007,93,Aprobado
6827375,LP,EST440,4856270,LP,II-2007,17,Reprobado
6833022,LP,MAT320,6905510,LP,I-2001,62,Aprobado
6720620,LP,MAT320,6736701,LP,I-2009,45,Reprobado
6851673,LP,MAT320,6049205,LP,II-2012,21,Reprobado
4774159,LP,EST392,4965844,LP,II-2005,99,Aprobado
8412330,LP,EST392,6764063,LP,II-2010,19,Reprobado
4896040,LP,INF120,6057424,LP,I-2014,69,Aprobado
6997132,LP,MAT120,6139832,LP,I-2009,28,Reprobado
5994995,LP,EST440,6751047,LP,II-2009,96,Aprobado
6858270,LP,INF324,6837306,LP,II-2007,4,Reprobado
5994785,LP,EST392,6764063,LP,I-2005,37,Reprobado
5964988,LP,FIS100,6139832,LP,II-2014,16,Reprobado
5964988,LP,EST280,6056909,LP,II-2009,19,Reprobado
6838626,LP,INF120,4875775,LP,I-2003,3,Reprobado
6948332,LP,MAT320,6169847,LP,II-2006,37,Reprobado
9236298,LP,MAT120,6144341,LP,II-2013,41,Reprobado
4312014,LP,MAT270,4856270,LP,I-2006,22,Reprobado
4745826,LP,EST280,6824136,LP,I-2014,22,Reprobado
6858270,LP,FIS100,6764063,LP,II-2005,97,Aprobado
4921900,LP,EST140,5801726,TJ,I-2002,82,Aprobado
6776752,LP,MAT270,4844828,LP,I-2009,14,Reprobado
9101758,LP,INF120,6761652,LP,I-2012,95,Aprobado
6753182,LP,EST140,4892034,LP,I-2007,64,Aprobado
6948542,LP,MAT270,6761652,LP,I-2006,21,Reprobado
8321673,LP,INF120,6858879,LP,I-2009,80,Aprobado
9179201,LP,INF120,4774159,LP,II-2001,27,Reprobado
6056909,LP,INF325,6720620,LP,I-2001,43,Reprobado
4928737,LP,INF320,6131932,LP,II-2008,41,Reprobado
8432254,LP,INF324,5998313,LP,I-2000,44,Reprobado
8264238,LP,EST392,5801726,TJ,I-2011,25,Reprobado
4792347,LP,EST140,4844828,LP,II-2003,44,Reprobado
9248643,LP,FIS100,3483848,LP,II-2000,10,Reprobado
5979309,LP,MAT120,6723965,LP,II-2014,23,Reprobado
6800465,LP,INF320,6776752,LP,II-2009,92,Aprobado
538893,VE,MAT320,7007126,LP,II-2006,21,Reprobado
6095371,LP,FIS100,6855569,LP,I-2007,63,Aprobado
6933814,LP,EST280,6720620,LP,I-2003,83,Aprobado
9236298,LP,INF120,6888435,LP,I-2009,6,Reprobado
9122265,LP,MAT270,538893,VE,II-2006,5,Reprobado
6765608,LP,INF325,7023542,LP,II-2013,69,Aprobado
8260129,LP,INF236,4874363,LP,I-2002,2,Reprobado
6196542,LP,EST440,4896040,LP,II-2004,6,Reprobado
5964988,LP,INF236,5977396,LP,II-2010,84,Aprobado
6948818,LP,MAT320,4844828,LP,II-2002,88,Aprobado
6196542,LP,FIS100,6020916,LP,I-2003,92,Aprobado
6009256,LP,EST440,6765608,LP,II-2000,69,Aprobado
6189606,LP,MAT320,6780733,LP,II-2006,45,Reprobado
4891593,LP,INF391,6948542,LP,II-2001,100,Aprobado
6058774,LP,EST140,5998313,LP,II-2005,56,Aprobado
9214751,LP,INF120,8441626,LP,II-2002,3,Reprobado
8291673,LP,INF391,6150980,LP,II-2004,63,Aprobado
6031586,LP,INF120,5977396,LP,II-2001,18,Reprobado
4913514,LP,INF320,8321673,LP,II-2000,20,Reprobado
8323749,LP,INF324,6776752,LP,II-2013,32,Reprobado
8302680,LP,EST440,6143079,LP,I-2013,27,Reprobado
4923886,LP,INF324,6764063,LP,I-2004,0,Abandono
6149905,LP,EST392,6798702,LP,I-2002,21,Reprobado
5941682,LP,INF324,6764063,LP,II-2006,87,Aprobado
4924998,LP,EST392,7007126,LP,I-2009,87,Aprobado
8328821,LP,MAT120,6824998,LP,I-2001,61,Aprobado
6825876,LP,INF320,2622011,LP,II-2005,4,Reprobado
4822122,LP,INF391,6140134,LP,II-2009,43,Reprobado
6853401,LP,MAT120,6153276,LP,I-2005,3,Reprobado
6095371,LP,INF236,4896040,LP,I-2009,59,Aprobado
4924229,LP,INF320,6143079,LP,II-2012,65,Aprobado
9101758,LP,INF320,6765381,LP,I-2008,94,Aprobado
4924998,LP,MAT320,6761652,LP,II-2007,25,Reprobado
6825876,LP,INF325,6858879,LP,II-2011,24,Reprobado
5981213,LP,INF320,6765608,LP,I-2003,76,Aprobado
6855569,LP,MAT270,4874363,LP,I-2012,99,Aprobado
8356505,LP,MAT270,6778337,LP,I-2002,3,Reprobado
6800465,LP,EST392,5960219,LP,II-2013,29,Reprobado
6869126,LP,MAT320,4965844,LP,I-2014,67,Aprobado
4250338,LP,INF236,6855569,LP,I-2011,77,Aprobado
6833022,LP,EST280,6169847,LP,I-2014,8,Reprobado
6025769,LP,INF236,6761652,LP,I-2003,22,Reprobado
5964988,LP,FIS100,6765608,LP,I-2004,65,Aprobado
9248643,LP,MAT120,6759045,LP,II-2011,54,Aprobado
9101758,LP,INF324,6131932,LP,I-2003,7,Reprobado
4924998,LP,INF236,6095371,LP,I-2008,80,Aprobado
6825876,LP,EST392,6798702,LP,II-2003,87,Aprobado
6869126,LP,EST140,4874363,LP,II-2007,40,Reprobado
6964230,LP,INF120,8441626,LP,I-2004,82,Aprobado
6858879,LP,MAT320,5960219,LP,II-2012,13,Reprobado
7005717,LP,INF325,4892034,LP,I-2010,82,Aprobado
6997132,LP,INF325,6144341,LP,I-2007,47,Reprobado
8302680,LP,INF324,2622011,LP,I-2002,81,Aprobado
6140134,LP,INF320,6824998,LP,II-2011,30,Reprobado
6087357,LP,INF236,6853401,LP,II-2014,77,Aprobado
4792347,LP,INF325,6833022,LP,I-2008,42,Reprobado
6765381,LP,INF120,4758753,LP,I-2007,87,Aprobado
5941682,LP,INF391,6888435,LP,II-2003,34,Reprobado
6824998,LP,MAT120,4312014,LP,II-2007,65,Aprobado
8412330,LP,EST280,4874363,LP,I-2014,20,Reprobado
4894944,LP,MAT320,4774159,LP,I-2006,84,Aprobado
8310941,LP,MAT270,6761652,LP,II-2009,6,Reprobado
9214751,LP,FIS100,6018908,LP,I-2002,75,Aprobado
4984804,LP,INF320,8441626,LP,II-2001,6,Reprobado
6059227,LP,MAT320,6723965,LP,I-2008,66,Aprobado
6720620,LP,EST280,2622011,LP,I-2010,56,Aprobado
7290420,OR,FIS100,6030223,LP,I-2010,89,Aprobado
6852438,LP,INF325,8321673,LP,II-2012,68,Aprobado
6720982,LP,INF320,6765608,LP,I-2001,4,Reprobado
5975080,LP,EST280,4856270,LP,I-2002,50,Reprobado
6149357,LP,INF120,8441626,LP,I-2000,20,Reprobado
7007126,LP,INF391,5801726,TJ,II-2010,87,Aprobado
5975080,LP,INF236,6815832,LP,II-2004,23,Reprobado
6800465,LP,EST140,5981213,LP,II-2003,58,Aprobado
6751047,LP,MAT320,6798702,LP,I-2003,6,Reprobado
8402517,LP,EST440,6095371,LP,II-2010,41,Reprobado
4896040,LP,MAT120,6720620,LP,II-2004,77,Aprobado
6948332,LP,MAT320,4892034,LP,II-2007,56,Aprobado
6030223,LP,INF324,6018908,LP,II-2000,82,Aprobado
6759045,LP,EST392,7007126,LP,II-2011,88,Aprobado
6851639,LP,EST440,5975560,LP,I-2012,85,Aprobado
6149905,LP,MAT270,6765608,LP,II-2003,79,Aprobado
4847126,LP,EST440,3459074,LP,I-2014,70,Aprobado
6869126,LP,MAT270,4837464,LP,II-2006,72,Aprobado
4826369,LP,INF320,6858879,LP,II-2004,35,Reprobado
8321673,LP,INF236,6085474,LP,I-2003,50,Reprobado
7007827,LP,MAT270,6815832,LP,II-2011,37,Reprobado
5979287,LP,INF320,7007126,LP,I-2013,75,Aprobado
5977396,LP,EST392,6888435,LP,II-2010,35,Reprobado
7034372,LP,INF236,5977396,LP,I-2010,27,Reprobado
8291673,LP,INF324,8441626,LP,II-2000,56,Aprobado
6150506,LP,INF325,6150980,LP,II-2003,75,Aprobado
6800465,LP,EST140,4874363,LP,I-2010,30,Reprobado
6720982,LP,INF324,2622011,LP,I-2004,36,Reprobado
4830306,LP,FIS100,2622011,LP,II-2014,49,Reprobado
9236298,LP,EST140,6139832,LP,II-2011,67,Aprobado
2622011,LP,INF325,6143079,LP,I-2010,57,Aprobado
6720620,LP,EST440,6049205,LP,I-2012,65,Aprobado
8323895,LP,MAT120,6798702,LP,II-2008,93,Aprobado
4892034,LP,EST392,5977396,LP,I-2010,22,Reprobado
4830306,LP,INF236,6182990,LP,II-2009,34,Reprobado
6963637,LP,MAT320,6776752,LP,I-2002,26,Reprobado
4900069,LP,MAT320,5998313,LP,I-2009,89,Aprobado
6791239,LP,EST392,6815832,LP,I-2011,40,Reprobado
6002249,LP,MAT270,6888435,LP,I-2000,80,Aprobado
7038942,LP,EST392,6798702,LP,II-2008,67,Aprobado
6751497,LP,INF120,6905510,LP,I-2003,17,Reprobado
8321673,LP,FIS100,6150506,LP,I-2011,3,Reprobado
6849369,LP,EST140,3459074,LP,I-2001,74,Aprobado
6025769,LP,MAT320,6853401,LP,II-2011,20,Reprobado
6892945,LP,INF391,6778337,LP,II-2009,7,Reprobado
9179201,LP,MAT270,538893,VE,II-2011,45,Reprobado
4830306,LP,MAT120,4758753,LP,II-2006,62,Aprobado
6167607,LP,MAT320,5801726,TJ,I-2012,99,Aprobado
6835293,LP,MAT320,6855569,LP,I-2005,91,Aprobado
4758753,LP,INF391,6144341,LP,I-2004,48,Reprobado
6049205,LP,INF236,4892034,LP,II-2002,55,Aprobado
9179201,LP,EST440,6826200,LP,I-2001,74,Aprobado
5940612,LP,EST392,6085474,LP,I-2002,23,Reprobado
6949853,LP,INF391,4847126,LP,I-2004,5,Reprobado
5968381,LP,INF391,5981213,LP,I-2011,61,Aprobado
4811882,LP,INF324,6049205,LP,I-2004,92,Aprobado
4924998,LP,MAT270,6855569,LP,I-2011,17,Reprobado
9216537,LP,MAT270,6780733,LP,I-2012,26,Reprobado
4847126,LP,MAT270,8441626,LP,I-2008,40,Reprobado
6018908,LP,INF391,8321673,LP,I-2006,91,Aprobado
6948542,LP,EST280,4830306,LP,I-2003,5,Reprobado
7005717,LP,INF391,7290420,OR,I-2003,10,Reprobado
8469272,LP,INF324,6030223,LP,I-2003,70,Aprobado
6736701,LP,INF120,6765381,LP,I-2009,52,Aprobado
6106186,LP,INF324,6755399,LP,II-2001,71,Aprobado
6852636,LP,MAT320,6009256,LP,II-2013,90,Aprobado
6852438,LP,FIS100,6858270,LP,I-2011,15,Reprobado
4852497,LP,INF391,6030223,LP,II-2011,92,Aprobado
6927260,LP,EST280,6057424,LP,II-2003,59,Aprobado
6149357,LP,MAT120,4928737,LP,I-2001,4,Reprobado
6949853,LP,EST140,6780733,LP,II-2006,85,Aprobado
4844828,LP,EST280,6736701,LP,II-2000,32,Reprobado
6144341,LP,INF320,6852438,LP,I-2008,1,Reprobado
6087357,LP,EST392,4830306,LP,II-2003,3,Reprobado
9112023,LP,INF320,6131932,LP,II-2004,99,Aprobado
6126334,LP,FIS100,4896040,LP,II-2012,35,Reprobado
7007126,LP,EST280,4758753,LP,II-2012,61,Aprobado
6765381,LP,INF236,4312014,LP,II-2002,95,Aprobado
6824998,LP,EST392,7023542,LP,II-2000,2,Reprobado
6759045,LP,INF324,6852438,LP,II-2011,70,Aprobado
6124769,LP,EST140,4874363,LP,II-2002,83,Aprobado
6789190,LP,FIS100,4837464,LP,II-2006,27,Reprobado
6150980,LP,INF236,6150506,LP,II-2008,32,Reprobado
4892034,LP,MAT120,6858879,LP,I-2010,28,Reprobado
7034372,LP,EST140,5994785,LP,I-2003,71,Aprobado
8432254,LP,EST280,4965844,LP,I-2008,1,Reprobado
6852636,LP,EST140,8306245,LP,II-2001,32,Reprobado
6009256,LP,EST440,6140134,LP,I-2003,76,Aprobado
6789190,LP,MAT270,6755399,LP,I-2000,73,Aprobado
4898251,LP,INF325,4896040,LP,I-2006,84,Aprobado
8425764,LP,MAT120,8342748,LP,I-2012,21,Reprobado
6892945,LP,MAT320,6087357,LP,I-2011,37,Reprobado
6167607,LP,EST140,4898251,LP,I-2004,52,Aprobado
6728060,LP,MAT270,4837464,LP,I-2002,11,Reprobado
4250338,LP,INF325,6765381,LP,II-2009,40,Reprobado
4900069,LP,MAT120,4837464,LP,II-2002,78,Aprobado
6169847,LP,MAT270,4875775,LP,II-2008,63,Aprobado
6149357,LP,FIS100,7290420,OR,I-2014,33,Reprobado
7001820,LP,INF236,8342748,LP,I-2006,71,Aprobado
9216537,LP,EST392,8441626,LP,I-2008,30,Reprobado
6056909,LP,EST280,6139832,LP,II-2005,0,Abandono
4928737,LP,FIS100,6824136,LP,II-2011,41,Reprobado
8432254,LP,FIS100,6765381,LP,II-2004,29,Reprobado
6844312,LP,MAT120,6736701,LP,II-2000,22,Reprobado
4830306,LP,MAT120,4830306,LP,II-2014,16,Reprobado
6196542,LP,FIS100,8441626,LP,II-2009,81,Aprobado
6844312,LP,INF324,7290420,OR,I-2011,1,Reprobado
4811882,LP,INF236,6720620,LP,I-2002,19,Reprobado
6759045,LP,MAT320,6150980,LP,II-2009,62,Aprobado
8406121,LP,INF320,6150980,LP,II-2003,45,Reprobado
4268464,LP,INF236,6095371,LP,I-2011,32,Reprobado
6824136,LP,MAT270,6169847,LP,I-2003,97,Aprobado
5968381,LP,MAT270,4826389,LP,I-2012,48,Reprobado
7005717,LP,MAT270,6858879,LP,I-2008,58,Aprobado
5960219,LP,INF320,5966709,LP,I-2011,51,Aprobado
4312014,LP,MAT320,5960219,LP,II-2002,71,Aprobado
4856270,LP,EST140,3483848,LP,II-2010,50,Reprobado
6964230,LP,MAT320,6824136,LP,I-2010,36,Reprobado
5960219,LP,EST440,4837464,LP,I-2013,40,Reprobado
3459074,LP,INF120,6826200,LP,I-2005,21,Reprobado
8291673,LP,INF320,6776752,LP,I-2012,28,Reprobado
6169410,LP,FIS100,4928737,LP,I-2014,81,Aprobado
6131932,LP,EST392,7290420,OR,I-2009,57,Aprobado
6998038,LP,INF236,6761652,LP,I-2006,97,Aprobado
6842906,LP,INF324,6815832,LP,I-2011,61,Aprobado
6815832,LP,INF391,6826200,LP,I-2002,72,Aprobado
4984804,LP,INF236,6948542,LP,II-2005,82,Aprobado
9083612,LP,MAT120,4312014,LP,II-2001,10,Reprobado
6793993,LP,FIS100,6143079,LP,II-2013,77,Aprobado
6025769,LP,MAT120,8321673,LP,II-2009,20,Reprobado
4250338,LP,MAT320,6723965,LP,I-2008,70,Aprobado
8301162,LP,MAT120,7023542,LP,II-2002,79,Aprobado
5979309,LP,EST392,6852438,LP,I-2003,74,Aprobado
6733281,LP,EST392,0,LP,I-2007,70,Aprobado
8356505,LP,EST392,2622011,LP,II-2013,44,Reprobado
8321673,LP,MAT270,6858879,LP,II-2012,36,Reprobado
5966709,LP,MAT120,6049205,LP,I-2013,13,Reprobado
4921900,LP,MAT270,6150980,LP,II-2009,31,Reprobado
5993596,LP,MAT120,6153276,LP,I-2005,92,Aprobado
9994525,LP,EST392,4774159,LP,I-2014,46,Reprobado
6861908,LP,EST392,6030223,LP,II-2004,67,Aprobado
9944703,LP,MAT320,6869689,LP,II-2013,2,Reprobado
6126334,LP,EST280,7023542,LP,I-2005,73,Aprobado
5941682,LP,INF120,6765608,LP,I-2010,46,Reprobado
8346639,LP,EST392,8441626,LP,II-2011,62,Aprobado
9944703,LP,INF325,6140134,LP,II-2005,12,Reprobado
8406121,LP,INF324,6888435,LP,I-2010,43,Reprobado
6905510,LP,EST140,4847126,LP,II-2007,15,Reprobado
6765608,LP,FIS100,4826389,LP,II-2013,35,Reprobado
6018908,LP,MAT270,3459074,LP,II-2000,81,Aprobado
8441626,LP,EST440,4826389,LP,II-2002,68,Aprobado
5964988,LP,INF324,6723965,LP,I-2000,22,Reprobado
6002249,LP,INF391,6139832,LP,I-2003,66,Aprobado
4923886,LP,MAT270,4852497,LP,II-2003,88,Aprobado
4852497,LP,EST280,6869689,LP,I-2001,12,Reprobado
7290420,OR,INF325,6169847,LP,I-2009,49,Reprobado
7034372,LP,EST392,5977396,LP,II-2013,28,Reprobado
6852636,LP,MAT320,4949063,LP,I-2009,20,Reprobado
3483848,LP,MAT120,5975560,LP,II-2010,88,Aprobado
4268464,LP,MAT270,6049205,LP,II-2003,100,Aprobado
6010843,LP,EST280,4852497,LP,I-2004,29,Reprobado
6761652,LP,EST280,6888435,LP,II-2013,66,Aprobado
6765608,LP,INF120,6745690,LP,I-2010,73,Aprobado
8412330,LP,INF325,6826200,LP,II-2003,78,Aprobado
538893,VE,INF120,4852497,LP,I-2005,93,Aprobado
6140134,LP,INF325,4837464,LP,I-2014,94,Aprobado
6745690,LP,EST140,4830306,LP,I-2014,84,Aprobado
6723965,LP,EST440,4875775,LP,II-2009,73,Aprobado
4780169,LP,EST280,7023542,LP,I-2002,70,Aprobado
4892034,LP,MAT320,6723965,LP,II-2011,38,Reprobado
8342748,LP,EST140,6824998,LP,II-2013,9,Reprobado
8310941,LP,EST280,6778337,LP,II-2012,96,Aprobado
6798702,LP,MAT120,6765381,LP,II-2009,57,Aprobado
8337111,LP,INF320,6140134,LP,I-2010,3,Reprobado
6189606,LP,MAT270,7023542,LP,I-2008,20,Reprobado
6844312,LP,EST440,6869689,LP,I-2013,30,Reprobado
4826389,LP,INF324,6020916,LP,I-2008,99,Aprobado
9214751,LP,INF391,6869689,LP,II-2003,63,Aprobado
7007827,LP,EST280,6153276,LP,II-2002,98,Aprobado
8425764,LP,INF120,5977396,LP,I-2013,7,Reprobado
6025769,LP,INF236,6736701,LP,II-2002,56,Aprobado
7001820,LP,EST440,4875775,LP,II-2011,20,Reprobado
6095371,LP,MAT270,6056909,LP,II-2002,95,Aprobado
8260129,LP,INF325,4758753,LP,I-2001,8,Reprobado
6858879,LP,EST140,6755399,LP,II-2006,82,Aprobado
5966709,LP,INF120,6018908,LP,I-2012,42,Reprobado
4792347,LP,EST440,6085474,LP,I-2011,12,Reprobado
8346639,LP,INF324,6824998,LP,II-2006,93,Aprobado
8356505,LP,EST392,4844828,LP,II-2000,18,Reprobado
8306245,LP,EST440,4896040,LP,II-2011,38,Reprobado
6030223,LP,MAT320,4928737,LP,I-2013,58,Aprobado
4924229,LP,MAT270,5994785,LP,I-2006,8,Reprobado
5964988,LP,MAT320,4830306,LP,I-2000,25,Reprobado
9994525,LP,EST280,6140134,LP,II-2005,55,Aprobado
4892034,LP,EST280,6761652,LP,II-2006,17,Reprobado
8321330,LP,INF391,8321673,LP,II-2008,79,Aprobado
4826389,LP,EST392,6153276,LP,I-2004,37,Reprobado
5964988,LP,MAT270,6765608,LP,II-2009,76,Aprobado
6059227,LP,EST280,6824998,LP,I-2009,21,Reprobado
4924998,LP,MAT320,6169847,LP,I-2013,19,Reprobado
4856270,LP,INF236,6020916,LP,I-2013,11,Reprobado
6948542,LP,MAT270,6020916,LP,II-2012,66,Aprobado
6733281,LP,MAT120,6745690,LP,II-2011,75,Aprobado
4822122,LP,INF325,8321673,LP,I-2000,47,Reprobado
7005717,LP,INF320,6837306,LP,I-2004,88,Aprobado
6892945,LP,MAT320,2622011,LP,II-2013,54,Aprobado
4758753,LP,FIS100,6736701,LP,I-2001,64,Aprobado
6131932,LP,EST392,6169847,LP,II-2011,44,Reprobado
4898251,LP,EST140,4844828,LP,I-2008,69,Aprobado
4913514,LP,INF391,6150980,LP,II-2003,33,Reprobado
4774159,LP,INF320,6169847,LP,I-2007,57,Aprobado
8324817,LP,EST140,5960219,LP,II-2008,11,Reprobado
9236298,LP,INF391,5977396,LP,II-2013,73,Aprobado
8432254,LP,INF325,6824998,LP,II-2000,85,Aprobado
6858879,LP,INF120,6776752,LP,II-2000,64,Aprobado
8328821,LP,EST280,6056909,LP,I-2011,42,Reprobado
8432254,LP,INF236,6057424,LP,I-2012,55,Aprobado
2622011,LP,MAT270,7023542,LP,II-2008,40,Reprobado
8441626,LP,INF320,4760216,LP,I-2011,79,Aprobado
4844828,LP,FIS100,6858270,LP,I-2003,37,Reprobado
4777949,LP,INF325,6869689,LP,II-2005,1,Reprobado
5981213,LP,MAT320,8441626,LP,II-2008,81,Aprobado
5979309,LP,INF324,6153276,LP,I-2013,43,Reprobado
6948818,LP,MAT120,6869689,LP,II-2004,93,Aprobado
4924998,LP,INF324,5960219,LP,I-2013,23,Reprobado
8425764,LP,FIS100,8441626,LP,II-2011,90,Aprobado
8302680,LP,EST280,6852438,LP,II-2003,16,Reprobado
6753182,LP,EST392,6087357,LP,I-2004,5,Reprobado
6838626,LP,INF320,6837306,LP,I-2004,96,Aprobado
4837464,LP,EST440,4826389,LP,II-2001,29,Reprobado
6139832,LP,INF120,7007126,LP,II-2014,13,Reprobado
